synthetic_id,fold,class,label,generation_seed,generation_config,config_file,training_source,training_source_sha256,path,sha256,width,height,format,source_dataset,generator_checkpoint,generator_sha256,architecture,device,gpu_name,generated_at,index
gan-f01-96bb34cf0c42,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00010.png,37954c68fe70656ffd13450d22525788b0a6d11a35ccf340ffd2ea52419919b9,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,10
gan-f01-dd312012b76f,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00011.png,b369d84a6b991440c52e26baf3d42717efec9990fb9b16c28e28f90474a7c8fc,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,11
gan-f01-b564beb6bf00,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00012.png,9700fc6c9cb1644afff1c6251495da2fcc9a87fcdb9ebd41ac27b36a34ea598c,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,12
gan-f01-a03960ba03be,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00013.png,64fff6a4cc856f10ec2e9e27dad23fd212b6039075e706e0d732283154ccc601,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,13
gan-f01-566f728ae4a8,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00014.png,08e0aaee1f2d58d62b10586fc0b94ed779639aca80af8a8b8b03a447abb59b10,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,14
gan-f01-3d6b21de749e,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00015.png,e0b178e083a3428119532b1c3a488ab4032a251730c49853f99aa085a0965422,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,15
gan-f01-e90cce894d07,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00016.png,a3d34168191cd5b5509c9944c0787cd29a074f2c423a6c1b15be06db53d825f0,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,16
gan-f01-b8c4d5506c4c,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00017.png,0a88932f2aef623bae29f3e96c34b2ea59204231243e27c67844b2270bc657c6,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,17
gan-f01-364268c8b154,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00018.png,7b7d75f4493b87e37e74887d4c75acc44ed82e240a56f0788d5b4bb44a7fdbc6,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,18
gan-f01-f225d84189a9,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00019.png,9d635ce0c127cd4d8caa8c6cfaa32d43ddf35434892cdaf035796bdb6ac467c1,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,19
gan-f01-0c3c6da2d841,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00020.png,2dc23c937f58620e514a8116082af3782c7da750da6f09ac3349af212f25a796,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,20
gan-f01-f66fbc21418c,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00021.png,9be7ee505d7cfe69deea941cdfa8867a8f6e5a306564eef07617c69ca1cc6b96,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,21
gan-f01-b4737a159b9d,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00022.png,a3283dec15413fc1cdf8ea074779e4b003d8dd7e6dca8dc13594b6b15d72b6f9,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,22
gan-f01-a5541e26ce3b,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00023.png,5d1f3cc8cddd4a42bbbb078608ae69c8b5535454c0d860441a4072f610fb6be8,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,23
gan-f01-d04e727109ed,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00024.png,ed015ad055713aff4dc6890647eec76da7fa0621be8b7d25b56ca1680d3b83aa,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,24
gan-f01-eb680580c997,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00025.png,daf9530b32f6b15a0c55eb05fd3843967927e7cbfbd592116b12fb120b45ea69,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,25
gan-f01-ca3abe6da485,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00026.png,5456292d9b7088a35befd12630ed1c4ea49771d4583eeda6bbef8461304f080a,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,26
gan-f01-f41c3934c32a,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00027.png,0ca0b575607eed04a21dfacc3a7c743d684979dee0b203737d4a399650d38646,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,27
gan-f01-d672cd992456,1,Aeromoniasis,1,42,"{""base_channels"": 64, ""batch_size"": 64, ""beta1"": 0.5, ""beta2"": 0.999, ""epochs"": 30, ""image_size"": 64, ""label_smoothing"": 0.0, ""latent_dim"": 100, ""learning_rate"": 0.0002, ""max_synthetic_ratio"": 1.0, ""max_train_images"": null, ""seed"": 42, ""synthetic_per_class"": {}, ""target_per_class"": null}",configs/gan_v2/default.json,data/audit/cv_v3/fold_01_train.csv,f448186b3964123d7fe212560ee549b62c992b996104fd25a2b3f2e74bb556e5,data/gan/fold_01/train/Aeromoniasis/synthetic_00028.png,36b84d38dab2b710f640f02604e96fdd89cb50ab046cd36e9fd61f18c056d1fc,64,64,PNG,gan,data/gan/fold_01/generator.pt,2023a19c8dd4ccbf8e82f216fd0304ca60c23dc78ea0f98cacfadf6ec9e8f6c7,cDCGAN (class-conditional DCGAN),cuda,Tesla T4,2026-09-20T11:17:45,28
