filepath,label,class_name,split
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_193.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_194.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_196.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_198.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_199.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_200.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_201.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_202.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_206.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_208.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_209.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_217.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_218.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_219.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_22.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_222.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_223.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_225.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_233.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_234.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_235.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_237.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_25.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_251.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_26.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_28.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_29.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_3.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_30.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_32.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_33.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_34.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_35.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_37.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_38.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_43.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_44.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_45.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_5.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_52.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_56.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_62.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_63.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_64.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_68.png,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_71.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_72.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_75.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_80.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_84.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_88.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_91.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_97.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_98.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_0.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_100.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_102.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_103.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_104.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_106.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_110.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_114.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_116.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_117.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_118.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_119.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_12.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_121.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_122.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_123.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_125.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_126.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_127.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_128.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_13.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_130.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_131.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_133.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_134.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_136.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_138.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_139.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_140.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_141.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_142.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_144.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_147.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_148.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_150.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_151.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_152.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_153.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_154.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_155.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_157.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_158.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_159.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_160.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_163.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_165.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_166.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_167.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_170.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_172.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_173.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_174.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_178.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_180.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_181.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_183.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_184.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_185.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_192.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_193.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_195.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_196.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_200.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_201.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_203.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_206.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_208.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_211.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_212.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_216.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_217.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_218.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_219.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_220.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_221.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_223.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_224.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_229.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_232.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_233.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_235.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_237.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_24.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_240.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_241.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_243.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_244.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_245.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_246.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_247.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_248.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_25.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_250.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_252.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_254.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_255.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_256.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_257.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_261.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_262.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_265.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_267.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_268.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_272.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_273.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_275.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_28.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_281.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_282.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_285.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_286.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_287.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_288.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_289.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_291.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_292.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_293.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_294.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_297.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_298.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_30.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_300.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_302.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_303.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_304.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_306.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_307.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_31.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_314.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_315.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_317.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_319.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_32.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_320.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_321.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_322.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_323.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_324.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_328.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_329.jpg,0,Bacterial Red Disease,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_aug_33.jpg,0,Bacterial Red Disease,train
