filepath,source_split,source_folder,class_name,label,extension,width,height,mode,sha256,dhash,status,exact_dup_group,near_dup_group,split
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_123.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,3ac6ff1551effec0ba8de62598aa146b31f62e9ef5bb8dd3d6f43f346a4ac17e,9e4e3b7e1e3878e0,ok,,g2343,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_125.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,f3f745d226e53aac5bd8bdb8bc79579bc96ff864d95a8406bf6365fdab3fb1ba,1e1f1d3d2d2b3b53,ok,,g996,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_126.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,48dd701ab11a8f6acbb0c5d45e8537c11648031fa6c13ed52d0be2d5738bf0f7,10101b191d0d0f0f,ok,,g801,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_127.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,4550c8067a96d0b6699f496ca4defa339c10e8cbc763dfe7d292ffc904e6326a,40c0c080c0e9cce8,ok,,g1564,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_128.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,289128a592a91a2ad0ca6ba21f5fef89ca09d4aabcf39ffc4a7ead2a56d3e109,7d7d79595bd3f3a3,ok,,g2071,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_13.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,128,128,RGB,c8b555ce415bcecb3d5b17f55e94bc550ed4c2e9f54c2e2618deb21c3249ff75,7818199f9f1cc007,ok,,g1995,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_131.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,7b48f31c902296dfd3ac73a022d03c3cbe438b65e5c189889f2d17317fe875ec,7decccccccd87033,ok,,g2075,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_134.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,fbdc8f7cf299796624fa892260f6bff467162e5425e3e1a6019223fcdc61bbe5,1f0f333f3f073f1f,ok,,g1028,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_135.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,626092e137ab4593b43bfbcd4c23d312fcaf974be1badb76f4952218db7ee46a,03030f2d691fbf5f,ok,,g228,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_136.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,9f4d9e525b4a127e47ebedced56a4673d86049f97f2b181936b2773d6467a00d,07078303a4250706,ok,,g392,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_137.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,23e295f7517909b33de82d87a6034cdbda8400331c57c0a77bb13f7c4c9687e5,010100001092331f,ok,,g142,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_143.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,67b1e759bf0684fe519670c2eea2bdcface8866f81bcafe4bf2006c5e1016dec,1d1d0bc01e170704,ok,,g967,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_145.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,22e43562889838ee5be11352bcc785a57a72c9cac4ddd662c53a1a295e096eee,21808d1f3c60408b,ok,,g1142,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_146.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,56cba6c492b52832a05d2c48b4b1eb83ae3ef4e8dac3586e032a78b3fa04a19e,e3c70f3c78488402,ok,,g2771,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_148.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,bea681312c679f947251df0e636a1827ebe3c81c3d485edc2b3a893ce3954b6a,931d0c1d0d69f030,ok,,g2282,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_150.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,b941c570747be8286632ec306d8c8b85ca43ce7a2621c8ad0e967a8d39bf1d21,999d1e1e191913c2,ok,,g2314,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_151.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,6678c79d46bb17a0270b8c304b5c37d3fde3a5f5096ae0538de56828e4e966cc,716d8d2f2faf4f4f,ok,,g1943,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_152.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,eb51ad7caae44c1321be1603203b58e2db5256c6f7ec9ce1deb39b7bca9c2323,e70f1929e92119ee,ok,,g2807,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_153.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,b8a374d94e8f9335069e4c0f5f70e3e7ad98bcb01d29adef62b5eb67a55c1703,8f8d0d1b969ce2c6,ok,,g2265,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_154.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,73567e7d2bd50769ee57388c3d068784e3ebed001fe701904e4fff4db13aa70d,628309080a0a4cf9,ok,,g1797,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_156.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,51beb2838c0937bed26381bd7c33f539c46fa01d09b58da9768f43b5286062f4,71d32c87070f4b43,ok,,g1946,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_157.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,b4c69d6bb7368e6b60dd79b1b3c9629276f2028a9194d949b790b0e709cf67d4,1c8e0e0c9e8e8717,ok,,g957,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_158.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,e66007fb4e86cb9cb301357f3a52d2bc6b317f268cc441d57b090bf0fd3f76ed,c7d7c7070783063e,ok,,g2568,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_159.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,4fac8c739525afc615b1a015759b2a4603dfe94dbdf6d5997d0151031515d80d,850787878fe7e1e1,ok,,g2178,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_160.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,944b197790b52632251e4b79ccde30d751c029c26164ce2a952226524b700a6d,e3c31e8e0f1f1c0c,ok,,g2770,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_162.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,7a0bd231f46faee153599851e22e96a5acbbb4a6443a6d09c97e9236eac0023e,070707231383c3e3,ok,,g382,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_163.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,51acba3d26ebb0b0990b32e90477513f6cebd0b6349af9c053e18abb17bfcb01,9b3bc3ef0f87c1e0,ok,,g2320,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_173.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,af511f8080e12e2b11c16443f800a5f00f3ce76c147b4dfe5940571ca88ecf9e,d8d8daf9f5fcf8fc,ok,,g2644,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_174.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,1d1497bc9e5aa03c4ce9ec0b6e5ed8d89627ef8c9066e58d92e4af23bdf8ee24,d0e0e4a4a869070f,ok,,g2620,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_176.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,6348b5cc7f77922199a0bad2ddc02a0a324975b2615a1017c62f182d82979510,f9fdf5b9dcdc7030,ok,,g2984,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_178.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,dfadde70d29db24768b80c197deaaf609fc37ac049692f49c9b0b9cf4766f848,f93b9b8d64e7faf8,ok,,g2977,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_179.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,872bcb1721af211df499da2dc21e104ebd59fa3c86311ae1627392a06974e988,3e060b4b0b050188,ok,,g1480,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_18.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,0208d3f63552032e9d7464b35a9dc48adad0ce7c0785bd6b9488bd611998936a,c1c0fcbca6b63a9a,ok,,g2514,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_181.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,2678aa76cf6a3e336973c106d6d12d9735f3be38c1d0284a0eebbb8555296cf7,c7f37f27939bce69,ok,,g2571,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_182.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,51c217862dcc4e68faa582643f3161998b0f73b62028bc692f84786c73ffc5ab,47d004cc8bc32230,ok,,g1637,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_183.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,972c83275e76319bdcf6f182f193902eee5b01962a445816a890011e900fb434,77bd2d393afae666,ok,,g1988,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_184.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,198b2c1d62cf4c7b776d6249c823d8f716817be658fc03f32b266d35ea68d5cc,4c464647074d4465,ok,,g1653,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_185.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,5bd817bbf46181c1e1a3f08bb8c7b0f41689e813c2a6b2df610bce1514c567c6,0d9d9d1e0e4c1c1c,ok,,g595,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_187.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,17521324cbc06552d0918899af4383ffce32fa729c99060848a97d50dae28285,4f47cfcf87071767,ok,,g1677,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_189.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,3f6ba598ab6c3adceebc84083bb9c68b8b8ed104ea2ad57f058bf65c9d2060bf,1b4ece082cecc4c9,ok,,g936,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_19.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,b2260b7be604c2eeee465f73f32823310f4324ffa34f73991f8683851ff0ac9f,2707970766b89530,ok,,g1189,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_192.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,d7760129f56b0457fbcfb9b3429c7d3d73791e99d64e404eacffeee03b8fedf1,9898d98988183810,ok,,g2304,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_193.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,f3b756a75d2341d5caa57bd23b3824ca76b805efa4a2c9c7ec22203fe74ed9fc,4eeee6e6eeccdcff,ok,,g1667,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_194.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,d840d122b25013bc5de70b979f1e935487bf9f4d6ade915d6ecff8288ba31748,c8e4e01090989898,ok,,g2575,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_195.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,6867fd13153190d526be0e1dcbff1bf93e5f3b11ac1d452441ab7481921a366e,797b79eb6d7c7c7c,ok,,g2031,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_196.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,bcdbaaab71e02a92fce080828cdb5927e7a94b6f75876eb1e98db28b6bb88596,2c363332386c6c24,ok,,g1214,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_197.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,6a1905ad525aff8d3b97ec4368f137c73da9be530186d4543a5830b10f7ce31b,c188a81810d0c0cc,ok,,g2510,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_198.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,58aa6d28fc390db8ce0e9426e6e6690c215ad87ed998c9907d901149e4c42e52,3c98a8c8cdd99898,ok,,g1459,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_199.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,61de7817434e9c11c984c03f9685dcfbb58bfe080772ef567d45d682fc178cff,0101550d0c1c4c72,ok,,g155,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_200.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,723edad1bd4e37cf3de18bfbc5791d7074ee78d93d0fcc5bb4de23c541eb15ae,000806348c9c0800,ok,,g57,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_201.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,9fe11b1e096dc21869683033d1bb35081cf04147f136e9f32d26f34dbde0c7c9,0060621c949c1c00,ok,,g99,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_202.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,e0167a7db5b89221d106ba6a64ee40d37d46976682e86a5456aac9d230cc9914,0000204044058bca,ok,,g21,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_206.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,f3470e21a75d13d43cc8b0d0f269947dd3a748ce3085e3312d10c3b6eba5ebe4,4020505a399f9fb9,ok,,g1561,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_207.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,dadcd9358b2ff5811f94a93cb19f84980281e0034ccfab6600056128fd47b33a,0080c0f3faf9fa3a,ok,,g115,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_208.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,c928f3b26756b20a44ffd8757d5f8f14681175fb968dcf8112d17161a386fe30,e000d8e0e4f4f872,ok,,g2690,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_209.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,234e9ab875af52cc700ded2d986323e2251fc93d047291182458f8b08c7be275,e8fcf6f6f9f3fef8,ok,,g2826,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_21.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,a4d6eb8c33ca87387139576b8d2aa51b3e60be5257a1e83146694869062238a7,070323190323330b,label_conflict,,g367,
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_211.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,7310986b3f1ebffcc2647c57832eb3c4415c9a8244142ed94a86fc137215fde3,fcf0c0f4f8f8fafc,ok,,g3009,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_217.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,b4725871caa577c6c4ac31331b7dc3c81966c563b787579a18713c82d1264cac,e2fcbf3f3f7f7070,ok,,g2767,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_218.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,c1cafeebd256bc31bdfd5039954a5664652adba133f1f1fcf85d5a327a04abda,0e0c8bc362b31f1f,ok,,g602,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_219.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,9f77f87c4ea32d464396af73dab5f629b799dabca8ec8c89816b5bdf64899d66,783f2f67efc70007,ok,,g2001,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_22.png,train_split,Bacterial Red disease,Bacterial Red Disease,0,.png,224,224,RGB,11c901173c9518cba67161726c03c443d23e768029368867ad1d60c15a14c994,0f0f2f2422010203,ok,,g677,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_222.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,93a9eb05819e19f6d51bbb768004851021e39decc943b59a69b47edb02b6e732,642c331f0b8b010b,ok,,g1827,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_223.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,fa1a0e6ab96b5458b2495c53f74e875ea5a3b3f52aa06f4897a4faae5a0db859,0c0f1f1a07c7871e,ok,,g545,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_225.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,88180db656d0749623d02a02eb704c74c5c5b478a157b45093101589c8f10609,44060f83e1001bff,ok,,g1610,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_233.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,30d46b0ca9c8845c8deaeb1cefc5bb7e1398e3a13d689275b89d9037691f104c,3d3d687c3df8f80f,ok,,g1468,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_234.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,a1f4e1e726003fbce5d36d58cdc52e42dc11f826c5240d5a3e7ae710fccc711a,e0b4a2e3f3bdfd07,ok,,g2703,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_235.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,4200aed872418ddf4f32e75fa828ae1dd5d6cba629b46fdbd3e03c958ee5ab54,6471f1f07a78f1c1,ok,,g1833,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_236.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,ceb7205083086d78d64e447052845a329623a31ede99e3cfcfa3c244b65be6b5,43c3c090a103070e,ok,,g1606,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_237.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,901c6e217ce6d1d8de125550e29525425978360c1030ee475293dee763127ee1,eb81615cf0b0d1f7,ok,,g2831,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_25.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,dc4aa592bf741057a4bb43ff4109430a1c8f7f8926c648c14ed512e0cee1bb5e,7960e0a2a460e060,ok,,g2023,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_250.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,f97c21d024a2230142ce3ff2521b86cca903a9f82924d3f3f0c8d361a7c60c09,0003cac8d0e00000,ok,,g53,test
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_251.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,640,640,RGB,a98aefe48ab70d602b24c830e6e65763d5cb23a1e03bf212866e3bdda72cdb34,1cf8840000000000,ok,,g960,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_26.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,4cc8d312d6e270c3cce2fec85abc6047c92482ecef3a57cbcf7dfaebb9a3373a,1f30c0b07c3a9f37,ok,,g1061,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_27.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,30ddf43e3724a72a3ca3f1643132882243a426e3ec26674ab0d211c01acbb3f4,d1d17949297c7c7d,ok,,g2624,val
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_28.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,4296e3b376ca6495a18f3fb8100b713bfdc59d80e99763a8a74b710f4cd121e8,0407171e80191d1c,ok,,g319,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_29.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,c2f46015687fde266ee3e2fe449863f9f2eff22786f1b51e71e85d2b98df922f,e0991d1616191b87,ok,,g2699,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_3.png,train_split,Bacterial Red disease,Bacterial Red Disease,0,.png,224,224,RGB,27d14acecb4a18d36a295e83f20e1ab2e8eff8d04adb6a8df3deceb31c48a49f,5f5fff77672b9b07,ok,,g1740,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_30.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,d95710d426582a82f033e8bf594b9f7e26714f561d3cdede1d6aaa8d6ea67369,040c0e0f0e1fc9c3,ok,,g320,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_32.png,train_split,Bacterial Red disease,Bacterial Red Disease,0,.png,224,224,RGB,ad7a445d6cee99412fe0357a255ef03e292f9d366dce01f4df4e3f228c7ef35b,0b0e668c3c7461ed,ok,,g523,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_33.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,7442cfa894f85f022563d72a6bce8bcb56fd1c35863424f70a2ea916a1d40dd4,30b8fce6e6f87830,ok,,g1275,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_34.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,6073b857053dd620929c0b2bba7621529026ecaf030d18e1a66f6d2e8830c985,7978e0a2a4606060,ok,,g2030,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_35.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,b5b93c5810b04cdc87ed44f671d87efdfe1b49cb1407179f20b6f202117f2e65,70d80d6c2e130360,ok,,g1930,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_36.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,224,224,RGB,5a4c85a263388bac220824b63826275b54d54bd1e5a49fa912d15ca6dc7e6e30,f3f3b226e6e6e3e3,label_conflict,,g2925,
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_37.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,128,128,RGB,db9672f3227deba6d6d673f12ca51ba5815b4e418b3be4f2e666daf8bcce5035,7f7f7f4b26078f1b,ok,,g2114,train
data/original/aquahealth/train_split/Bacterial Red disease/Bacterial Red disease_38.jpg,train_split,Bacterial Red disease,Bacterial Red Disease,0,.jpg,128,128,RGB,075d37156d53762a58b023f2e08f87ab6d1ae136963c25599b167268e2e65832,b417763ebf7b4b69,ok,,g2426,train
