dataset,dataset_name,local_path,split_or_structure,original_class,image_count,extensions,species,specimens,dimensions,corrupt,metadata_available,notes
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Bacterial gill disease,400,.jpeg:4 .jpg:393 .png:3,,,640x640:276 128x128:65 224x224:59,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,EUS,400,.jpg:400,,,640x640:398 260x194:2,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Fungal diseases Saprolegniasis,400,.jpeg:1 .jpg:397 .png:2,,,640x640:174 128x128:133 224x224:93,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Healthy Fish,400,.jpg:400,,,640x640:400,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Parasitic diseases,400,.jpeg:4 .jpg:394 .png:2,,,640x640:217 128x128:131 224x224:51 116x212:1,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
current_freshwater,Current AquaHealth dataset (train_split / test_split / test.csv),/Users/sogo/genai/TEMP/Projects/AI_HACKATHON/data/raw/current_freshwater,train_split,Viral diseases White tail disease,400,.jpeg:5 .jpg:391 .png:4,,,640x640:191 128x128:131 224x224:78,0,test.csv,"The dataset of the existing baseline; delivered as DATASET.zip. test_split is flat and labelled by test.csv (filename,label)."
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,Argulus,23,.jpg:23,,,600x352:2 600x450:2 318x159:2 265x90:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,Broken antennae and rostrum,7,.jpg:7,,,199x159:1 675x518:1 421x120:1 289x174:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,EUS,26,.jpg:26,,,360x480:5 150x150:3 200x200:2 480x360:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,Healthy Fish,31,.jpg:30 .png:1,,,480x360:9 360x480:8 216x68:1 150x111:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,Redspot,31,.jpg:30 .png:1,,,360x480:2 480x360:1 600x380:1 1280x720:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,THE BACTERIAL GILL ROT,6,.jpg:6,,,1200x1532:1 290x174:1 273x185:1 295x171:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
kaptai,Fresh Water Fish Dataset,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fresh Water Fish Dataset,class_folders,Tail And Fin Rot,9,.jpg:9,,,150x115:1 251x201:1 230x219:1 266x189:1,0,none,Delivered as 'Fresh water fish disease dataset.zip'; no README or metadata inside the dataset. <class>/<image>.
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Bacterial Red disease,4,.jpg:4,,,640x640:4,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Bacterial diseases - Aeromoniasis,5,.jpg:5,,,640x640:5,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Bacterial gill disease,7,.jpg:7,,,640x640:7,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Fungal diseases Saprolegniasis,2,.jpg:2,,,640x640:2,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Healthy Fish,16,.jpg:16,,,640x640:16,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Parasitic diseases,7,.jpg:7,,,640x640:7,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,test,Viral diseases White tail disease,4,.jpg:4,,,640x640:4,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Bacterial Red disease,34,.jpg:34,,,640x640:34,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Bacterial diseases - Aeromoniasis,39,.jpg:39,,,640x640:39,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Bacterial gill disease,45,.jpg:45,,,640x640:45,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Fungal diseases Saprolegniasis,40,.jpg:40,,,640x640:40,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Healthy Fish,144,.jpg:144,,,640x640:144,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Parasitic diseases,30,.jpg:30,,,640x640:30,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,train,Viral diseases White tail disease,33,.jpg:33,,,640x640:33,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Bacterial Red disease,8,.jpg:8,,,640x640:8,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Bacterial diseases - Aeromoniasis,5,.jpg:5,,,640x640:5,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Bacterial gill disease,5,.jpg:5,,,640x640:5,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Fungal diseases Saprolegniasis,4,.jpg:4,,,640x640:4,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Healthy Fish,17,.jpg:17,,,640x640:17,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Parasitic diseases,1,.jpg:1,,,640x640:1,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
roboflow,Fish Disease - v1 2023-10-04 (Roboflow export),/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/Fish Disease.v1i.folder,valid,Viral diseases White tail disease,4,.jpg:4,,,640x640:4,0,README.dataset.txt; README.roboflow.txt,"Roboflow 'folder' export: <train|valid|test>/<class>/<image>; README says 454 images, auto-orient + resize 640x640 (stretch), no augmentation."
mendeley,MatsyaDx-BD,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/MatsyaDx-BD An image dataset of freshwater fish di/MatsyaDx-BD,matsyadx,Bacterial Gill Diseases,275,.jpg:275,Grass_carp_(Ctenopharyngodon idella); Rui_(Labeo rohita); Silver_carp_(Hypophthalmichthys molitrix),27,4000x3000:232 3000x4000:43,0,metadata.csv,"<health_condition>/<fish_category>/<specimen>/<image> plus metadata.csv (image_id, health_condition, fish_category, specimen_id, ...). The four per-class .7z archives next to the folders are the delivered originals."
mendeley,MatsyaDx-BD,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/MatsyaDx-BD An image dataset of freshwater fish di/MatsyaDx-BD,matsyadx,Bacterial Red Diseases,653,.jpg:653,Grass_carp_(Ctenopharyngodon idella); Rui_(Labeo rohita); Silver_carp_(Hypophthalmichthys molitrix),35,4000x3000:598 3000x4000:55,0,metadata.csv,"<health_condition>/<fish_category>/<specimen>/<image> plus metadata.csv (image_id, health_condition, fish_category, specimen_id, ...). The four per-class .7z archives next to the folders are the delivered originals."
mendeley,MatsyaDx-BD,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/MatsyaDx-BD An image dataset of freshwater fish di/MatsyaDx-BD,matsyadx,Epizootic Ulcerative Syndrome (EUS),332,.jpg:332,Grass_carp_(Ctenopharyngodon idella); Rui_(Labeo rohita); Silver_carp_(Hypophthalmichthys molitrix),14,4000x3000:231 3000x4000:101,0,metadata.csv,"<health_condition>/<fish_category>/<specimen>/<image> plus metadata.csv (image_id, health_condition, fish_category, specimen_id, ...). The four per-class .7z archives next to the folders are the delivered originals."
mendeley,MatsyaDx-BD,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/MatsyaDx-BD An image dataset of freshwater fish di/MatsyaDx-BD,matsyadx,Healthy Fish,877,.jpg:877,Grass_carp_(Ctenopharyngodon idella); Rui_(Labeo rohita); Silver_carp_(Hypophthalmichthys molitrix),10,3000x4000:459 4000x3000:418,0,metadata.csv,"<health_condition>/<fish_category>/<specimen>/<image> plus metadata.csv (image_id, health_condition, fish_category, specimen_id, ...). The four per-class .7z archives next to the folders are the delivered originals."
paper_dataset,SalmonScan,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/SalmonScan A Novel Image Dataset for Fish Disease Detection in Salmon Aquaculture System/SalmonScan,class_folders,FreshFish,456,.png:456,,,600x250:456,0,none,<FreshFish|InfectedFish>/<image>.png; no README or metadata inside the dataset (SalmonScan.zip next to the folder is the delivered original).
paper_dataset,SalmonScan,/Users/sogo/genai/TEMP/Projects/AI_TECHTAHON_DOCUMENTS/Dataset/Dataset/SalmonScan A Novel Image Dataset for Fish Disease Detection in Salmon Aquaculture System/SalmonScan,class_folders,InfectedFish,752,.png:752,,,600x250:752,0,none,<FreshFish|InfectedFish>/<image>.png; no README or metadata inside the dataset (SalmonScan.zip next to the folder is the delivered original).
