image_a,image_b,source_dataset_a,source_dataset_b,original_path_a,original_path_b,original_class_a,original_class_b,unified_class_a,unified_class_b,hash_type,hash_value_or_comparison,similarity_or_distance,duplicate_status,cross_dataset,label_relation,recommended_action,reason
current_freshwater-a33c958ccd60,roboflow-a5de5c143f43,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_218.jpg,valid/Healthy Fish/Healthy-Fish-177-_jpg.rf.f69568338748dcc8232a1b57e97cc8f3.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,0f876af3de090bb2683ce946f6a3f2292d7ecbfa220c40025454b53bad4e741a,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-b837cf602c38,roboflow-6846972762ab,current_freshwater,roboflow,test_split/Healthy Fish_Healthy Fish_354.jpg,valid/Healthy Fish/Healthy-Fish-100-_jpg.rf.7b173c6a70bbdfd8381416b86a8bd97f.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,0fd4170062f6dfa860044e30bf1d9a0896d917bce1b7cde46cfc47db0036075f,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-a6a6edfbf23b,current_freshwater-b16e0f61a0c7,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_260.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_308.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,sha256,0fd82fab1f67f858b32124ee1ce1538bddf237c8611a8de7be2fd5b8d6876341,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-446d8dbd8437,roboflow-784951549429,current_freshwater,roboflow,test_split/Healthy Fish_Healthy Fish_278.jpg,train/Healthy Fish/Healthy-Fish-3-_png.rf.ab33c9980c7846124b94accde8d6b718.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,102ab993417d3129d38d6a7c6e2ae16d062014c9ae874a1b9da28aa83f105c4f,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-bdaa9981fea9,roboflow-6a1983be0e5d,current_freshwater,roboflow,test_split/Healthy Fish_Healthy Fish_334.jpg,valid/Healthy Fish/Healthy-Fish-69-_jpg.rf.b9678da33e70898098815bdfae1c52d3.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,12aed7e55739d4a33e21f8e774933b7a8600b63fdba555abb083cb5e89d1b71d,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7880c34917f1,current_freshwater-f41be9f279b7,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_153.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_224.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,12c9b4a0b17828bfb58224b7ced8dda706c75d47dfb28d98f26c5eefb8da4bdd,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7880c34917f1,current_freshwater-0f2db0819329,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_153.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_285.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,12c9b4a0b17828bfb58224b7ced8dda706c75d47dfb28d98f26c5eefb8da4bdd,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-f41be9f279b7,current_freshwater-0f2db0819329,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_224.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_285.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,12c9b4a0b17828bfb58224b7ced8dda706c75d47dfb28d98f26c5eefb8da4bdd,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-ba64beb1e21f,current_freshwater-d44c4ac12a12,current_freshwater,current_freshwater,train_split/Healthy Fish/Healthy Fish_aug_150.jpg,train_split/Healthy Fish/Healthy Fish_aug_189.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,12e7c005f3dd10f57811fdb3ab8769c80c5a94d55108f298cd33b698e9c731e1,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7ef8480d80de,current_freshwater-f86f859b1d61,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_139.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_186.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,134d6ee079a0c63b521184c919cf451f0dedcb006cb1b7613868ca6d00316080,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7ef8480d80de,current_freshwater-61f1d308715f,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_139.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_191.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,134d6ee079a0c63b521184c919cf451f0dedcb006cb1b7613868ca6d00316080,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-f86f859b1d61,current_freshwater-61f1d308715f,current_freshwater,current_freshwater,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_186.jpg,train_split/Viral diseases White tail disease/Viral diseases White tail disease_aug_191.jpg,Viral diseases White tail disease,Viral diseases White tail disease,White Tail Disease,White Tail Disease,sha256,134d6ee079a0c63b521184c919cf451f0dedcb006cb1b7613868ca6d00316080,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-68675f3c5e4d,current_freshwater-5d79085eaf50,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_354.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_370.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,sha256,1ba8eec4ac15432bf27d33384252a137bca625979b8d5592dae23763385de3ff,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-37fe315dd124,roboflow-7fc95bcf39c7,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_364.jpg,test/Healthy Fish/Healthy-Fish-115-_jpg.rf.bf008706bca01404b3559a1834c4ac4a.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,1bc425d33b8322affa79e74abbda80944e8bf5bc2133e414c3fd804e6b547c08,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-8e3f759da841,current_freshwater-86047c1b9ed3,current_freshwater,current_freshwater,train_split/EUS/EUS_300.jpg,train_split/EUS/EUS_aug_40.jpg,EUS,EUS,EUS Disease,EUS Disease,sha256,1cac297d6a9e6eaff0b62aa613dc1c60052af2dee77aa23a4d13d10ebaffc3cc,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-1405664d3a4e,roboflow-87972f7a4729,current_freshwater,roboflow,test_split/Healthy Fish_Healthy Fish_183.jpg,train/Healthy Fish/Healthy-Fish-137-_jpg.rf.061f4b498a12668cff2cb58666a8fbd7.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,225ea1b7055ffa32a46827f59af226c923e60225debd54976fbc74f16dd1feaf,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-152b26e2af72,current_freshwater-e31fb4f078ef,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_aug_301.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_66.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,sha256,240c53448e9fc2aeae92f5509b16e90a42653846e31e9b09ed807eb0e4d92d5b,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-18d23165babd,kaptai-ec61de04fe7f,kaptai,kaptai,Argulus/32.jpg,Redspot/Red Spot (10).jpg,Argulus,Redspot,,,sha256,258cc52a08a87277670dba46572d9b08f118f946592d049c3858957ec7693610,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-e83d105334c2,roboflow-7373bd231a34,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_190.jpg,train/Healthy Fish/Healthy-Fish-141-_jpg.rf.62a450b75fdcd074a1c5130d01f7c907.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,2b222d24b7e9105e679457b3a6f9db3bfbfec76986d80b6f94bdaeed15b8a2ef,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-7ec23e660b44,kaptai-18a5e69d5e31,kaptai,kaptai,Argulus/27.jpg,Broken antennae and rostrum/Broken antennae and rostrum  (4).jpg,Argulus,Broken antennae and rostrum,,,sha256,2e36b30f090657546b2096a4bf97e36c605520b4c28e1403a1546691ad258465,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-8e85bd86479c,current_freshwater-561008e79adc,current_freshwater,current_freshwater,train_split/Bacterial Red disease/Bacterial Red disease_aug_143.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_290.jpg,Bacterial Red disease,Bacterial Red disease,Bacterial Red Disease,Bacterial Red Disease,sha256,2e3cd05ac4ac4389dfe28656c23dc68443259adeedbdb2fdf253822830885b6d,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-97fdad2dc333,current_freshwater-18afafb9af1d,current_freshwater,current_freshwater,train_split/Bacterial Red disease/Bacterial Red disease_aug_261.jpg,train_split/Bacterial Red disease/Bacterial Red disease_aug_57.jpg,Bacterial Red disease,Bacterial Red disease,Bacterial Red Disease,Bacterial Red Disease,sha256,2e9f56183ce1d9a54e6c37fd74483a1fc6d7e458d28ca6d929e3954e7821962b,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-35f462fb468e,current_freshwater-adb6b56c4669,current_freshwater,current_freshwater,train_split/EUS/EUS_182.jpg,train_split/EUS/EUS_aug_112.jpg,EUS,EUS,EUS Disease,EUS Disease,sha256,2f4fac40cbd3c3f2cb2f47631ec3cc3080c30706a6d91658d0d54eef666da2ac,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-0c7f2f792d92,roboflow-859417f5177e,current_freshwater,roboflow,test_split/Healthy Fish_Healthy Fish_220.jpg,train/Healthy Fish/Healthy-Fish-179-_jpg.rf.29c45d32eb02e677c80bc59517d7c6ef.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,2ffe9bcb451233239281491d1c775a0065e03b0341b5d1b71c3b3e34d9c8fbd3,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-07c319454773,kaptai-fe92726bc4b4,kaptai,kaptai,EUS/EUS  (14).jpg,Redspot/EUS  (14).jpg,EUS,Redspot,EUS Disease,,sha256,3031387046ff2ce7654d5127839b260bdafdce8bc32ad94db807d11f6d18776a,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
kaptai-61aa7395c351,kaptai-4303e72dc03c,kaptai,kaptai,Argulus/21.jpg,Healthy Fish/healthy (30).jpg,Argulus,Healthy Fish,,Healthy Fish,sha256,322e0ac7603f8e90e281d8539c6d44a00695dbb0b6529fbd5647a8cb41afa9cf,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-1e0e152e3301,roboflow-0ebc32f9a495,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_188.jpg,train/Healthy Fish/Healthy-Fish-140-_jpg.rf.7f514106e4d2fdf34768cbb33ed8586e.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,3513c231b218b2f60f28c66e3e7971938b2db417f7ef1883a287fe1fcdb759c5,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-14fc26bf46e3,roboflow-134ee47072fa,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_231.jpg,train/Healthy Fish/Healthy-Fish-20-_jpg.rf.10cf5c7f1d9ca86c6e2ed0059084ec67.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,3871d589ccd32712469d4405cffd0465ed50d3ab6164fe09e946516381bab3e2,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-626d579ede6d,current_freshwater-55384ceaffff,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_aug_208.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_27.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,sha256,39932f245bca7806c99b295a3ba835a5b680bb01ad67b18d27ec63edfadd12ba,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-b0a78c5f8dca,roboflow-e0e1c139c339,current_freshwater,roboflow,train_split/Bacterial gill disease/Bacterial gill disease_213.jpg,train/Bacterial gill disease/Bacterial-gill-disease-7-_jpeg.rf.18dde61db9a3bf3944ab5dcff0c5b357.jpg,Bacterial gill disease,Bacterial gill disease,Bacterial Gill Disease,Bacterial Gill Disease,sha256,3dc391b10849d9792ee76dcec65265f3f1749b186115521ab011da0d6ad05aec,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7c56616ea386,roboflow-44a217f7ba75,current_freshwater,roboflow,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_246.jpg,train/Bacterial diseases - Aeromoniasis/Bacterial-diseases-Aeromoniasis-26-_jpg.rf.0ac86b95cbdbc22be1b5f902f0f01757.jpg,Bacterial diseases - Aeromoniasis,Bacterial diseases - Aeromoniasis,Aeromoniasis,Aeromoniasis,sha256,423fd7630e0e2740c576f08bc4185225ef7ab89ce89aa5dce534d37d8fdb7f13,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-4e7bc767e5de,roboflow-9ff393d5a6c3,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_321.jpg,train/Healthy Fish/Healthy-Fish-5-_png.rf.a5063620fae4c6e50ee1030f715ca9f6.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,42612a3226d983b4476a263006f99cd85903c024a355bb809d3f62cd8c7e1cef,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-cd1575597cb5,kaptai-c6efbfe5b192,kaptai,kaptai,Argulus/29.jpg,Broken antennae and rostrum/Broken antennae and rostrum  (6).jpg,Argulus,Broken antennae and rostrum,,,sha256,438da45e029673433158b8f9dfc3eaf9756da93144a973c0e22c258f797b9c15,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-b962c982dda1,current_freshwater-353338baa294,current_freshwater,current_freshwater,train_split/Parasitic diseases/Parasitic diseases_aug_302.jpg,train_split/Parasitic diseases/Parasitic diseases_aug_68.jpg,Parasitic diseases,Parasitic diseases,Parasitic Disease,Parasitic Disease,sha256,49a946af70f406002294e232622816f247c1f0ac1296f8c805df390f2b5392be,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
kaptai-c3dab79c251f,kaptai-76d8f1663690,kaptai,kaptai,Argulus/25.jpg,Broken antennae and rostrum/Broken antennae and rostrum  (8).jpg,Argulus,Broken antennae and rostrum,,,sha256,4b66bf9fa36d99762f5e624200b4b3ac5ebe17895acf0dd996e813ad24c8f9c2,0,EXACT_DUPLICATE,False,UNRESOLVED_LABEL,REVIEW,"byte-identical, a label is unresolved; the match is evidence for the mapping decision"
current_freshwater-f3a2a727ce19,roboflow-add65ca22c97,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_311.jpg,train/Healthy Fish/Healthy-Fish-30-_jpg.rf.2e45da10f112ee93ccd5cdaec9eba7f6.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,526c687681c1795cb9be4758682283ca94eeaec22b1c78e531d69db54ad55354,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-f3f34db65728,roboflow-c0c86d807c91,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_217.jpg,train/Healthy Fish/Healthy-Fish-176-_jpg.rf.fd40a0a2b74bfe013c5bf933640eac5c.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,55484605bdb71a87665476045cc09f8a8b2f04b96fd26b5edb9401ee716e000b,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-3838dd26a63c,roboflow-6a8864a47276,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_194.jpg,train/Healthy Fish/Healthy-Fish-145-_jpg.rf.f6c6150ade8c469031f1e3a44c898839.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,5586543c4f1f9e76fcd3fe6f70978d2c1757b91122748c1e2f31e5d5e7d21413,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-47f71bb939b9,roboflow-1b30bbb47850,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_318.jpg,train/Healthy Fish/Healthy-Fish-42-_jpg.rf.bf94df5e4a9544da7a061018dddea291.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,55c73032f51314b2bfa9b19d548a4790a71758f857355bc70e5e59b9ce01981c,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-4ef0c42c69be,current_freshwater-5775b7078024,current_freshwater,current_freshwater,train_split/Healthy Fish/Healthy Fish_242.jpg,train_split/Healthy Fish/Healthy Fish_aug_126.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,585097c6575723eaf9d71359a47c60c32349c4f870faf5269227b45d6ac70df7,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-4ef0c42c69be,roboflow-372c9e27b13d,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_242.jpg,test/Healthy Fish/Healthy-Fish-23-_jpeg.rf.2f91278e4f34f2823a99fabcf0ff0732.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,585097c6575723eaf9d71359a47c60c32349c4f870faf5269227b45d6ac70df7,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-5775b7078024,roboflow-372c9e27b13d,current_freshwater,roboflow,train_split/Healthy Fish/Healthy Fish_aug_126.jpg,test/Healthy Fish/Healthy-Fish-23-_jpeg.rf.2f91278e4f34f2823a99fabcf0ff0732.jpg,Healthy Fish,Healthy Fish,Healthy Fish,Healthy Fish,sha256,585097c6575723eaf9d71359a47c60c32349c4f870faf5269227b45d6ac70df7,0,EXACT_DUPLICATE,True,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
current_freshwater-7cb1e16d56a3,current_freshwater-6f055dbe3ba3,current_freshwater,current_freshwater,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_108.jpg,train_split/Fungal diseases Saprolegniasis/Fungal diseases Saprolegniasis_aug_327.jpg,Fungal diseases Saprolegniasis,Fungal diseases Saprolegniasis,Saprolegniasis,Saprolegniasis,sha256,59addb6974c5bbb54e672391d664b5fc00c4483f01b1c7e63ce9028badc28207,0,EXACT_DUPLICATE,False,SAME_LABEL,DROP_B_KEEP_A,byte-identical (policy: exact duplicates collapse to the first path)
