image_id,source_dataset,filepath,original_path,original_filename,original_class,original_split,unified_class,mapping_status,species,specimen_id,width,height,extension,sha256,dhash,exact_dup_group,near_dup_group,group_id,group_size,included,exclusion_reason,representative_image_id
current_freshwater-6dd888e1231c,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_180.jpg,test_split/Bacterial Red disease_Bacterial Red disease_180.jpg,Bacterial Red disease_Bacterial Red disease_180.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,9cd7f8a0fba3e5621acab201d76b3264c81a65ebf48ff56c56358d1374aa599a,fe3e3c9e87773181,,g6318,current_freshwater-6dd888e1231c,1,True,,
current_freshwater-bc76b4330e61,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,test_split/Bacterial Red disease_Bacterial Red disease_186.jpg,Bacterial Red disease_Bacterial Red disease_186.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,78d7d081a57acdb1b13986c09b2e8b3f967cc33480a03bdea7008e04841d4564,0f0f363e1c9c988c,,g1147,current_freshwater-00f1e1382549,4,True,,
current_freshwater-209ad6806455,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_191.jpg,test_split/Bacterial Red disease_Bacterial Red disease_191.jpg,Bacterial Red disease_Bacterial Red disease_191.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,ccc88c9ee2ed308ef6d4f78c1786c75b4598b39d704c96017964faa73443f34a,652d9c4e43c0d45c,,g3411,current_freshwater-209ad6806455,1,True,,
current_freshwater-6d1b29b6184f,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,test_split/Bacterial Red disease_Bacterial Red disease_20.jpeg,Bacterial Red disease_Bacterial Red disease_20.jpeg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpeg,76a891da5628604143bde1a3c0857ad9f950e91315a18af5ea7b1d1226fe4f98,988c9c1e171b071f,,g4425,current_freshwater-6d1b29b6184f,5,True,,
current_freshwater-003c91c1ec1c,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_203.jpg,test_split/Bacterial Red disease_Bacterial Red disease_203.jpg,Bacterial Red disease_Bacterial Red disease_203.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,2b74fd653d6cea4d3798185c665594495f16e913f13f5d16024653af16e4c3a8,3f9f3f3050510101,,g2829,current_freshwater-003c91c1ec1c,1,True,,
current_freshwater-d7bc951502bf,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_210.jpg,test_split/Bacterial Red disease_Bacterial Red disease_210.jpg,Bacterial Red disease_Bacterial Red disease_210.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,59182b2577c7cec96a1248b5330cbe733566d2a6446a40c83eac77d4e20deaa9,007a92e06040464e,,g209,current_freshwater-d7bc951502bf,1,True,,
current_freshwater-db2a0b77629f,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_212.jpg,test_split/Bacterial Red disease_Bacterial Red disease_212.jpg,Bacterial Red disease_Bacterial Red disease_212.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,d65b0c80d17900ef60467e9c4872d4e54bce681b1f4ba65cb943bc178c4b5e3c,80001898d8b0e0c0,,g4067,current_freshwater-7d40f252db0b,2,True,,
current_freshwater-12651be163fb,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_221.jpg,test_split/Bacterial Red disease_Bacterial Red disease_221.jpg,Bacterial Red disease_Bacterial Red disease_221.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,b63a5ba0546b0baa8915cf57e3c80b560d3f312012f18cfc27dc22a8858031bf,000f0c191b87c337,,g91,current_freshwater-12651be163fb,3,True,,
current_freshwater-fe68b7a8a1e9,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_224.jpg,test_split/Bacterial Red disease_Bacterial Red disease_224.jpg,Bacterial Red disease_Bacterial Red disease_224.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,640,640,.jpg,594cb721a4994c4e987d639a20a37109bb0eeb1bf848effe8a89119a9eec4f7c,c97b130f2f3e7f2f,,g5147,current_freshwater-fe68b7a8a1e9,1,True,,
current_freshwater-cab417872b2b,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_39.jpg,test_split/Bacterial Red disease_Bacterial Red disease_39.jpg,Bacterial Red disease_Bacterial Red disease_39.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,17e28d34234adb97bda8af75188e621076ebfbd7608d38c5a42a80c690f7253b,8f1b97a591010000,,g4332,current_freshwater-acabbe130b34,2,True,,
current_freshwater-059da44862a0,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_41.jpg,test_split/Bacterial Red disease_Bacterial Red disease_41.jpg,Bacterial Red disease_Bacterial Red disease_41.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,1300bd34df24776984914f6f415f88f9cd0b533b1ef7ca8366210f52f5553371,0d070482c6070000,,g963,current_freshwater-059da44862a0,2,True,,
current_freshwater-777a666eb003,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_65.jpg,test_split/Bacterial Red disease_Bacterial Red disease_65.jpg,Bacterial Red disease_Bacterial Red disease_65.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,bc890592751f34f0187e2d66d22d296acf78ee2d5810b2e0f9914a47f620e0ea,0c998b2b3b1f1830,,g955,current_freshwater-3784f17606e9,2,True,,
current_freshwater-0576836b102e,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_67.jpg,test_split/Bacterial Red disease_Bacterial Red disease_67.jpg,Bacterial Red disease_Bacterial Red disease_67.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpg,bc24e4159f956ece669c9d80ad0cf646505061c3e1deb579cdf776d71df9e397,040c243747c20698,,g563,current_freshwater-0576836b102e,3,True,,
current_freshwater-40143d63b50b,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_73.jpg,test_split/Bacterial Red disease_Bacterial Red disease_73.jpg,Bacterial Red disease_Bacterial Red disease_73.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,1439ceac967f4ffe8fb891c296c48d5a06d2ef694c0bb684c50e9adf8418a21a,00e060e80c8e8703,,g251,current_freshwater-40143d63b50b,1,True,,
current_freshwater-802402e62191,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_74.jpg,test_split/Bacterial Red disease_Bacterial Red disease_74.jpg,Bacterial Red disease_Bacterial Red disease_74.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,cbceed67f0e32c42e2ae9fff184f541cbe024370cf1973fdee7e3f8e17bab882,bcbebcf4e6972f0f,,g4874,current_freshwater-802402e62191,1,True,,
current_freshwater-e1ffa92ee4a9,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_79.jpeg,test_split/Bacterial Red disease_Bacterial Red disease_79.jpeg,Bacterial Red disease_Bacterial Red disease_79.jpeg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,224,224,.jpeg,12a8c648743549feed28e0dc8850a7db73235f6346ea17219ec356bedb96c017,f0c003591d0f1cd0,,g5934,current_freshwater-e1ffa92ee4a9,2,True,,
current_freshwater-912bfe204b04,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_81.jpg,test_split/Bacterial Red disease_Bacterial Red disease_81.jpg,Bacterial Red disease_Bacterial Red disease_81.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,3d429de7cc901934fd45e3f863212285a75d7e690d09162d2dae67c8cb0a4ed3,1f9f3f1b117373f3,,g1901,current_freshwater-912bfe204b04,1,True,,
current_freshwater-d97c91a777c8,current_freshwater,data/raw/current_freshwater/test_split/Bacterial Red disease_Bacterial Red disease_9.jpg,test_split/Bacterial Red disease_Bacterial Red disease_9.jpg,Bacterial Red disease_Bacterial Red disease_9.jpg,Bacterial Red disease,test_split,Bacterial Red Disease,EXACT_MATCH,,,128,128,.jpg,9bdd5f2cf12515ca093bee851a4ebd2ea16ba1301ab14236250e11fc835d6a7f,07e6f4e083434622,,g791,current_freshwater-d97c91a777c8,1,True,,
current_freshwater-16fa95689261,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.jpg,ceb946e240caaf0bc23610de73d20d602b016d1b9ccb6b81f1c64e62b34cef71,7cfd9124ecec7819,,g3957,current_freshwater-16fa95689261,2,True,,
current_freshwater-fc009c68d85c,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,fd44371f528732a258b5153d31fe81d4ae8f9d792da107a10a851b90c9f57496,2eaefcf8b8f8f818,,g2179,current_freshwater-fc009c68d85c,1,True,,
current_freshwater-005f5f6fefac,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,17ceb497d76a37520eed2a0b3f101bdc81bc8e490f5eb2dfe405e5c4c38430fc,f0e06ce470c0c3c3,,g5959,current_freshwater-005f5f6fefac,1,True,,
current_freshwater-1bc9d7b72fcf,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.png,39d6e79089466f593c995da0d2f3a00f1d5c2cb1199792b011abcb5365de78ce,f3f3b226e6e6f3e3,,g6082,current_freshwater-1bc9d7b72fcf,1,True,,
current_freshwater-e6f24e7acba2,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.jpg,6d3402a47e689a1ef80af04098c1adde7d964302c2cfff32335777e7de963d62,f0e1d1d8bce4e470,,g5964,current_freshwater-e6f24e7acba2,1,True,,
current_freshwater-346dab6a63d7,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,aef504925c6d63399cd1b939308c1492475d43b69ed76dd62ab45160a7943522,0f1f4f41c079b107,,g1202,current_freshwater-346dab6a63d7,1,True,,
current_freshwater-107aafb81902,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,c086b5e75312779d06a3b2c80433854f2934fe3d849e5e9f77be923e9c917fe0,1f1f19cfefcdcacf,,g1835,current_freshwater-107aafb81902,1,True,,
current_freshwater-341a6dd91c33,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,1a18c3db95276cb5a0d7358f1ff635c056a335816628fccf0a6024879eebeaff,3064e6fcd8e17030,,g2248,current_freshwater-341a6dd91c33,1,True,,
current_freshwater-5f4b25263ed7,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,2eca4d52838d25e770df2a08ea702b17e707b3783c317587073e48ccccf48648,000273f1e8e8d0d0,,g71,current_freshwater-5f4b25263ed7,1,True,,
current_freshwater-491e411c56ce,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.jpg,3d0e54f53845e716731eb31d733df878c536ef5e807164efaaafca56491fe62e,0c3cf191192ce660,,g943,current_freshwater-491e411c56ce,4,True,,
current_freshwater-0d56951442f0,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_141.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_141.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_141.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,e5a1d2cd4782a128488fcff4e267dbf7676b144b5b55b868de1395c56f58bc87,726062e2c0e0e060,,g3710,current_freshwater-0d56951442f0,1,True,,
current_freshwater-520df61fd139,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_144.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_144.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_144.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,b9e2c5aa120887282a9c6cb9371ce8ad9b6a4e998a5e2317b1ee66dfa3d29070,dede7e7e7e383870,,g5475,current_freshwater-520df61fd139,1,True,,
current_freshwater-d6752869dab3,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_146.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_146.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_146.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,a43f51eefb4b7743541c4e6d013a37785b6a3c8325aa45f43a3d6a76209ae9b2,83c6cfd7b3b3f2c0,,g4173,current_freshwater-d6752869dab3,1,True,,
current_freshwater-c7fcba24e6c8,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_148.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_148.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_148.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,cda6006b35bd48087a3e8ae18631308d36fc8b95f3894d23ed7067ce9039a18e,83f9f0d98c0523e0,,g4175,current_freshwater-c7fcba24e6c8,1,True,,
current_freshwater-8bc6d4d161b2,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_149.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_149.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_149.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.jpg,38afad2c1df1878eb43ba4f94ae6a746b967eb1ab9664a6e5723717975cf5df0,e0cc34b28ec6e6e4,,g5549,current_freshwater-8bc6d4d161b2,1,True,,
current_freshwater-4cea5bba0429,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_153.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_153.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_153.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,72ea06f13bdae5b00cecacfc11e4e0c867e4bf42725952fdc1ed1497be1d7391,0e0f1b3979bbbb1f,,g1033,current_freshwater-4cea5bba0429,1,True,,
current_freshwater-c906334ee960,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_161.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_161.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_161.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,b626a246e52c7395f8759ece3175196df5f499f36f54228c3ef6c24574c6b926,fcecfcb0e1e32a8b,,g6264,current_freshwater-c906334ee960,1,True,,
current_freshwater-eb9d70675585,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_171.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_171.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_171.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,224,224,.jpg,7df72641d0ccbec1891a3cdae3dc11199cb48c43381f6a674e2009ec39211de9,f0fcdf9919521c30,,g6012,current_freshwater-eb9d70675585,3,True,,
current_freshwater-4e28530c5f6e,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_180.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_180.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_180.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,16d03b8641c2e2c2a17ddc8536ca8f6ba8f020ce07092880abffdcf8657024e0,7c66668ce4e06161,,g3921,current_freshwater-4e28530c5f6e,1,True,,
current_freshwater-1938af3810b2,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_182.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_182.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_182.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,90d735d90d6ffa92edaa3d730907b852e7f27a9d0f35c467b8b3e74374f0620a,66f276e3f7bebcbc,,g3429,current_freshwater-1938af3810b2,1,True,,
current_freshwater-077573059049,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_185.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_185.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_185.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,e2f8109bbcd11426f5939e6d5de830bf0db7076af9ec5c576f385387a0102efe,197174e2e6e47076,,g1595,current_freshwater-077573059049,2,True,,
current_freshwater-086a76400b22,current_freshwater,data/raw/current_freshwater/test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_20.jpg,test_split/Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_20.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_20.jpg,Bacterial diseases - Aeromoniasis,test_split,Aeromoniasis,EXACT_MATCH,,,128,128,.jpg,1937e88bddd550dfb78b70b0f22f15b162d0260ea2f5c4fe9b20783469078de1,e0e2d2f8ecc8e000,,g5587,current_freshwater-086a76400b22,1,True,,
